book,starts_on,ends_on,start_page,page,start_location,location
infinite-summer,06/22/2009,06/26/2009,0,63,0,1522
infinite-summer,06/27/2009,06/29/2009,64,94,1523,2233
infinite-summer,06/30/2009,07/03/2009,95,137,2234,3236
infinite-summer,07/04/2009,07/06/2009,138,168,3237,3900
infinite-summer,07/07/2009,07/10/2009,169,210,3901,4844
infinite-summer,07/11/2009,07/13/2009,211,242,4845,5561
infinite-summer,07/14/2009,07/17/2009,243,284,5562,6545
infinite-summer,07/18/2009,07/20/2009,285,316,6546,7250
infinite-summer,07/21/2009,07/24/2009,317,358,7251,8174
infinite-summer,07/25/2009,07/27/2009,359,390,8175,8869
infinite-summer,07/28/2009,07/31/2009,391,432,8870,9832
infinite-summer,08/01/2009,08/03/2009,433,464,9833,10556
infinite-summer,08/04/2009,08/07/2009,465,506,10557,11510
infinite-summer,08/08/2009,08/10/2009,507,537,11511,12243
infinite-summer,08/11/2009,08/14/2009,538,580,12244,13233
infinite-summer,08/15/2009,08/17/2009,581,611,13234,13925
infinite-summer,08/18/2009,08/21/2009,612,653,13926,14900
infinite-summer,08/22/2009,08/24/2009,654,685,14901,15628
infinite-summer,08/25/2009,08/28/2009,686,727,15629,16554
infinite-summer,08/29/2009,08/31/2009,728,759,16555,17293
infinite-summer,09/01/2009,09/04/2009,760,801,17294,18315
infinite-summer,09/05/2009,09/07/2009,802,833,18316,19021
infinite-summer,09/08/2009,09/11/2009,834,875,19022,19972
infinite-summer,09/12/2009,09/14/2009,876,907,19973,20767
infinite-summer,09/15/2009,09/18/2009,908,949,20768,21708
infinite-summer,09/19/2009,09/21/2009,950,981,21709,22403
